test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.7.16,nbody.py 50000000,469.671767,1247,1693034146.745671,-,-,439,12.61,3486,1896,2.72,192793,0,1001,6632,5709,2102,4994,29,26531,1013,65240,0.00,0.06,0.03,0.01,0.07,0.00,1.94,0.16,85.09,12.99,0.01,0.12,74.27,81,82,99.78,300,300,100.95,99.76,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5774.58,4795.81,0.24,131.60,0.00,0.00
2,Python 3.7.16,nbody.py 50000000,483.971518,1233,1693034630.833098,-,-,446,13.21,3378,1896,2.64,221664,0,2147,45410,22968,7849,12460,56,31874,413,64129,0.00,0.14,0.08,0.04,0.14,0.00,2.23,0.04,84.10,13.41,0.03,0.15,73.20,81,81,99.76,300,300,104.80,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5782.95,4766.45,0.25,140.45,0.00,0.00
3,Python 3.7.16,nbody.py 50000000,478.028931,1161,1693035108.979192,-,-,434,12.62,3434,1896,2.71,185901,0,2513,6920,5071,2132,5658,26,26177,326,58365,0.00,0.05,0.03,0.01,0.08,0.00,1.84,0.04,85.29,12.94,0.01,0.09,74.34,80,81,99.97,300,300,100.99,99.79,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5712.10,4713.46,0.25,134.06,0.00,0.00
4,Python 3.7.16,nbody.py 50000000,476.041294,1222,1693035585.143740,-,-,434,12.61,3444,1896,2.71,187105,0,1049,4983,5194,2076,5469,47,27568,317,55847,0.00,0.04,0.03,0.01,0.08,0.00,1.99,0.03,85.19,12.92,0.01,0.12,74.34,82,82,99.77,300,300,100.91,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5688.19,4692.56,0.25,133.37,0.00,0.00
5,Python 3.7.16,nbody.py 50000000,478.861063,1242,1693036064.129228,-,-,435,12.61,3449,1896,2.69,188577,0,1099,8036,5680,1490,4564,50,26284,386,56663,0.00,0.06,0.03,0.01,0.07,0.00,1.93,0.02,85.24,12.94,0.01,0.10,74.33,80,80,99.77,300,300,100.88,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5721.96,4721.51,0.24,134.19,0.00,0.00
6,Python 3.7.16,nbody.py 50000000,477.083340,1199,1693036541.324573,-,-,435,12.65,3441,1896,2.70,191364,552,1038,9224,6922,2554,6538,74,29688,299,58301,0.00,0.08,0.03,0.01,0.09,0.00,2.13,0.04,84.95,13.03,0.01,0.13,74.17,79,81,99.85,300,300,101.17,99.78,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5700.91,4702.53,0.54,134.14,0.00,0.00
7,Python 3.7.16,nbody.py 50000000,475.405567,1401,1693037016.846305,-,-,434,12.61,3445,1896,2.72,181277,0,796,6160,5046,2025,5142,40,25654,315,54816,0.00,0.04,0.03,0.01,0.08,0.00,1.84,0.04,85.33,12.93,0.01,0.11,74.33,78,80,99.98,300,300,100.94,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5680.92,4688.40,0.25,133.17,0.00,0.00
8,Python 3.7.16,nbody.py 50000000,479.367109,1321,1693037496.410485,-,-,434,12.61,3444,1896,2.69,183578,0,657,5897,5370,2190,4976,33,25272,289,56942,0.00,0.05,0.02,0.01,0.07,0.00,1.84,0.05,85.32,12.93,0.01,0.09,74.36,80,81,99.98,300,300,100.92,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5728.09,4727.33,0.24,134.33,0.00,0.00
9,Python 3.7.16,nbody.py 50000000,478.576332,1310,1693037975.177598,-,-,435,12.61,3448,1896,2.69,189520,0,832,9318,6468,1454,4302,60,26021,285,55637,0.00,0.07,0.03,0.01,0.06,0.00,1.92,0.02,85.25,12.98,0.01,0.10,74.30,80,79,99.75,300,300,100.93,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5718.49,4718.43,0.24,134.14,0.00,0.00
10,Python 3.7.16,nbody.py 50000000,479.962402,1303,1693038455.252732,-,-,445,13.16,3383,1896,2.67,214681,0,2658,43366,20743,6635,12156,65,32033,232,58855,0.00,0.15,0.08,0.03,0.14,0.00,2.28,0.03,84.11,13.41,0.02,0.14,73.27,78,78,99.75,300,300,104.58,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5735.01,4728.26,0.24,139.13,0.00,0.00
