version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 2.5.6,nbody.py 50000000,530.512,1239.5,1693007653.441043,0.00,0.00,448.40,12.65,3546.30,1896.00,2.64,252341.70,0.00,1210.00,11122.90,7240.60,2702.80,7016.60,62.20,32018.10,5314.70,92493.70,0.00,0.05,0.03,0.01,0.10,0.00,2.04,0.92,84.17,13.00,0.01,0.14,74.20,82.10,82.80,99.86,300.00,300.00,101.12,99.71,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6688.68,5581.94,0.26,150.62,0.00,0.00
Python 2.7.18,nbody.py 50000000,459.257,1260.3,1693012367.470499,0.00,0.00,436.20,12.66,3445.60,1896.00,2.79,183255.00,0.00,1038.60,9482.70,6248.10,2145.90,5369.10,49.00,25066.90,263.30,57495.70,0.00,0.06,0.03,0.01,0.08,0.00,1.91,0.04,85.19,12.98,0.01,0.11,74.24,81.10,82.00,99.85,300.00,300.00,101.24,99.78,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5503.72,4543.25,0.26,130.67,0.00,0.00
Python 3.0.1,nbody.py 50000000,578.744,1237,1693018276.497987,0.00,0.00,440.50,12.70,3467.40,1896.00,2.46,231824.30,0.00,1617.70,13962.80,8545.20,3102.80,7408.50,63.30,31666.90,356.00,72164.90,0.00,0.06,0.03,0.01,0.08,0.00,1.89,0.03,85.16,13.01,0.01,0.11,74.18,80.20,80.70,99.89,300.00,300.00,101.49,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6931.33,5721.67,0.25,162.91,0.00,0.00
Python 3.4.10,nbody.py 50000000,497.605,1220.3,1693023374.082316,0.00,0.00,435.60,12.70,3429.70,1896.00,2.60,200026.10,0.00,1330.20,14600.50,7841.80,2775.70,6504.20,57.80,27856.40,276.00,61336.30,0.00,0.07,0.03,0.01,0.08,0.00,1.93,0.03,85.12,13.01,0.01,0.12,74.16,80.40,80.90,99.88,300.00,300.00,101.48,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5962.11,4921.50,0.25,140.25,0.00,0.00
Python 3.5.10,nbody.py 50000000,495.95,1225.5,1693028455.006042,0.00,0.00,437.30,12.72,3439.00,1896.00,2.58,201428.30,0.00,1587.10,13127.70,7926.30,2951.30,6949.40,52.00,28039.40,323.90,64227.50,0.00,0.07,0.04,0.02,0.09,0.00,1.94,0.04,85.07,13.05,0.01,0.12,74.10,80.30,81.10,99.87,300.00,300.00,101.65,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5942.39,4905.69,0.25,139.80,0.00,0.00
Python 3.6.15,nbody.py 50000000,498.061,1228.1,1693033556.897225,0.00,0.00,438.60,12.66,3465.50,1896.00,2.52,204883.30,0.00,1168.00,10390.50,6743.30,2259.40,6214.80,46.40,28583.50,307.50,67310.60,0.00,0.06,0.03,0.01,0.08,0.00,1.97,0.03,85.13,13.00,0.01,0.12,74.20,81.30,81.80,99.84,300.00,300.00,101.30,99.79,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5967.30,4926.08,0.25,139.97,0.00,0.00
Python 3.7.16,nbody.py 50000000,477.697,1263.9,1693038455.252732,0.00,0.00,437.10,12.73,3435.20,1896.00,2.69,193646.00,55.20,1379.00,14594.60,8917.10,3050.70,6625.90,48.00,27710.20,387.50,58479.50,0.00,0.07,0.04,0.01,0.09,0.00,1.99,0.05,84.99,13.05,0.01,0.11,74.09,79.90,80.50,99.84,300.00,300.00,101.71,99.78,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5724.32,4725.47,0.27,134.86,0.00,0.00
Python 3.8.16,nbody.py 50000000,539.846,1248.8,1693043975.068327,0.00,0.00,435.80,12.66,3444.60,1896.00,2.56,213058.80,3.20,1152.30,11087.80,7212.30,2335.80,6349.20,54.50,29475.60,338.30,65149.70,0.00,0.06,0.03,0.01,0.08,0.00,1.88,0.04,85.22,12.96,0.01,0.11,74.26,80.80,81.40,99.82,300.00,300.00,101.20,99.78,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6467.08,5339.09,0.25,151.68,0.00,0.00
Python 3.9.16,nbody.py 50000000,543.904,1235.5,1693049535.454643,0.00,0.00,440.50,12.71,3466.70,1896.00,2.60,217515.00,0.00,1743.30,13312.90,8929.70,3205.10,7254.80,66.70,30494.80,296.40,65732.10,0.00,0.07,0.03,0.01,0.09,0.00,1.95,0.03,85.09,13.02,0.01,0.11,74.15,81.20,81.60,99.83,300.00,300.00,101.55,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6515.21,5378.53,0.25,153.23,0.00,0.00
Python 3.10.11,nbody.py 50000000,561.516,1236.3,1693055272.123313,0.00,0.00,440.10,12.65,3478.00,1896.00,2.48,228012.40,0.00,1311.80,13086.50,7380.10,2239.70,5886.10,54.10,29709.10,290.60,75120.40,0.00,0.06,0.03,0.01,0.07,0.00,1.84,0.03,85.28,12.94,0.01,0.10,74.29,80.70,81.00,99.81,300.00,300.00,101.10,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6725.46,5551.70,0.25,157.74,0.00,0.00
