test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 2.7.18,nbody.py 5000000,31.599200,1067,1689775093.139353,-,-,523,12.77,4093,1896,3.21,22527,0,185,4504,1324,300,920,6,4243,451,8581,0.00,0.20,0.07,0.02,0.21,0.00,4.48,0.79,81.40,13.36,0.03,0.30,73.54,95,93,99.55,300,300,101.88,99.53,0.24,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,586.29,506.84,0.09,19.14,0.00,0.00
2,Python 2.7.18,nbody.py 5000000,33.734925,1155,1689775126.976725,-,-,500,12.85,3894,1896,3.16,67247,0,414,4554,1903,1199,2363,12,10265,5052,35540,0.00,0.13,0.07,0.05,0.63,0.00,7.76,9.22,69.13,14.15,0.07,0.97,71.96,93,93,99.75,450,300,102.30,98.80,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,576.76,491.04,0.08,20.45,0.00,0.00
3,Python 2.7.18,nbody.py 5000000,33.534256,1054,1689775160.554597,-,-,502,12.79,3927,1896,3.16,83096,0,168,4801,1864,359,2007,8,11750,6931,42613,0.00,0.22,0.05,0.02,0.57,0.00,8.51,10.65,67.00,14.46,0.02,0.89,71.84,93,95,99.87,450,300,101.91,98.48,0.16,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,584.31,499.30,0.08,20.32,0.00,0.00
4,Python 2.7.18,nbody.py 5000000,33.799200,1222,1689775194.392484,-,-,492,12.80,3845,1896,3.20,76447,0,134,4750,1747,476,2841,6,11726,6531,39776,0.00,0.20,0.06,0.03,0.82,0.00,8.33,9.80,67.83,14.39,0.03,1.22,71.57,82,84,99.87,450,300,102.23,98.84,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,567.95,482.21,0.09,20.45,0.00,0.00
5,Python 2.7.18,nbody.py 5000000,37.210121,1242,1689775231.653531,-,-,445,12.77,3485,1896,3.20,21533,0,99,4025,1471,252,1059,3,4094,150,8712,0.00,0.12,0.06,0.02,0.21,0.00,3.69,0.32,82.79,13.09,0.01,0.29,73.83,82,82,99.50,450,300,101.61,99.73,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,488.56,394.38,0.07,22.47,0.00,0.00
6,Python 2.7.18,nbody.py 5000000,38.976349,1263,1689775270.676569,-,-,437,13.10,3338,1896,3.13,28231,0,254,6161,2560,830,2536,7,8698,120,11440,0.00,0.20,0.11,0.05,0.52,0.00,6.88,0.21,78.91,13.58,0.06,0.68,72.58,80,81,98.17,450,300,103.83,99.79,1.36,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,465.26,365.07,0.58,24.42,0.00,0.00
7,Python 2.7.18,nbody.py 5000000,38.522137,1231,1689775309.247532,-,-,431,12.81,3368,1896,3.19,23383,0,199,3070,2217,650,1208,7,5654,78,8531,0.00,0.12,0.10,0.04,0.22,0.00,5.10,0.08,81.50,13.31,0.03,0.33,73.51,81,81,98.85,450,300,102.17,99.79,0.70,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,459.86,362.02,0.20,23.48,0.00,0.00
8,Python 2.7.18,nbody.py 5000000,38.197925,1217,1689775347.489615,-,-,431,12.75,3376,1896,3.22,20866,0,264,3971,1634,275,830,17,4254,43,7025,0.00,0.15,0.10,0.02,0.16,0.00,3.90,0.05,82.84,13.23,0.02,0.24,73.76,77,77,99.40,450,300,101.77,99.79,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,456.00,359.43,0.06,23.01,0.00,0.00
9,Python 2.7.18,nbody.py 5000000,38.446968,1163,1689775385.979262,-,-,434,12.89,3367,1896,3.19,26301,0,149,2565,1646,502,1212,7,4874,58,7714,0.00,0.08,0.08,0.03,0.24,0.00,4.31,0.07,82.28,13.21,0.02,0.34,73.54,78,78,98.85,450,300,102.51,99.79,0.71,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,458.99,361.78,0.21,23.50,0.00,0.00
10,Python 2.7.18,nbody.py 5000000,37.940278,1232,1689775423.977183,-,-,432,12.80,3375,1896,3.24,21809,0,200,1206,1957,1076,1605,8,5090,79,7767,0.00,0.09,0.09,0.06,0.26,0.00,4.44,0.09,82.14,13.25,0.06,0.33,73.57,78,78,99.35,450,300,102.24,99.79,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,452.92,357.84,0.07,22.88,0.00,0.00
