test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.0.1,nbody.py 50000,0.751974,1382,1686314701.492384,-,-,521,17.67,2950,1896,0.92,3717,0,46,534,397,300,2334,3,1521,0,0,0.01,1.60,0.99,1.14,23.40,0.03,55.27,0.00,0.00,19.71,1.68,18.78,42.17,72,74,99.34,450,300,130.76,99.73,0.43,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.13,6.04,0.00,0.55,0.00,0.00
2,Python 3.0.1,nbody.py 50000,0.812134,1516,1686314702.349636,-,-,783,27.59,2837,1896,0.75,5666,0,14,2017,932,430,2340,0,1510,0,0,0.00,2.04,1.70,1.48,21.71,0.00,45.55,0.00,0.00,21.96,1.19,17.23,32.03,74,74,88.66,300,300,177.12,99.75,10.87,10.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.33,7.89,0.13,0.85,0.00,0.00
3,Python 3.0.1,nbody.py 50000,0.790211,1396,1686314703.183624,-,-,529,19.03,2777,1896,0.87,4016,0,13,2169,1575,481,2140,0,1750,0,0,0.01,2.41,2.12,1.04,21.82,0.00,53.72,0.00,0.00,21.27,0.54,19.28,39.87,76,76,99.47,300,300,136.86,99.78,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.02,5.82,0.00,0.62,0.00,0.00
4,Python 3.0.1,nbody.py 50000,0.770461,1310,1686314703.994499,-,-,613,21.35,2871,1896,0.79,4884,0,28,3348,1693,369,2327,2,1766,0,0,0.01,2.51,2.06,0.89,23.40,0.01,49.94,0.00,0.00,21.64,0.73,21.58,34.70,75,75,99.81,300,300,148.99,99.79,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.61,6.50,0.00,0.65,0.00,0.00
5,Python 3.0.1,nbody.py 50000,0.837687,1404,1686314704.872720,-,-,746,26.47,2818,1896,0.73,9469,0,8,2283,1261,474,2222,0,1715,0,0,0.00,2.58,2.30,1.14,19.82,0.00,47.77,0.00,0.00,20.35,0.75,16.70,35.74,76,76,99.32,300,300,161.24,99.77,0.48,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.76,7.44,0.00,0.75,0.00,0.00
6,Python 3.0.1,nbody.py 50000,0.748336,1305,1686314705.660011,-,-,553,18.88,2926,1896,0.86,3809,0,14,1517,1135,546,2450,0,1704,0,0,0.01,2.01,2.38,1.51,24.76,0.00,50.59,0.00,0.00,22.19,1.00,21.99,35.94,76,78,99.69,300,300,137.72,99.78,0.18,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.24,6.22,0.00,0.61,0.00,0.00
7,Python 3.0.1,nbody.py 50000,0.731262,1242,1686314706.432664,-,-,520,17.28,3008,1896,0.92,3669,0,8,1837,850,370,1983,0,1504,0,0,0.00,1.87,1.65,1.26,20.56,0.00,57.51,0.00,0.00,19.77,0.66,16.69,45.60,75,77,91.49,450,300,126.59,99.79,7.82,7.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.17,6.06,0.13,0.60,0.00,0.00
8,Python 3.0.1,nbody.py 50000,0.743767,1297,1686314707.217039,-,-,547,18.06,3028,1896,0.88,3960,0,17,1508,1116,547,2021,0,1728,0,0,0.00,2.35,1.89,1.25,20.92,0.00,55.63,0.00,0.00,20.25,0.68,17.65,43.36,75,76,91.29,450,450,128.47,99.78,7.89,7.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.56,6.43,0.07,0.61,0.00,0.00
9,Python 3.0.1,nbody.py 50000,0.799530,1355,1686314708.061415,-,-,607,21.59,2810,1896,0.82,4471,0,24,1565,1109,448,2286,0,1728,0,0,0.01,1.79,2.27,1.36,21.50,0.00,51.60,0.00,0.00,23.16,1.13,17.82,36.31,75,75,74.29,450,300,156.56,99.77,24.20,24.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.24,6.52,0.29,0.94,0.00,0.00
10,Python 3.0.1,nbody.py 50000,0.818856,1459,1686314708.922946,-,-,685,23.84,2874,1896,0.75,4940,0,60,3267,1881,420,2290,0,1728,0,0,0.01,2.58,2.48,1.17,22.41,0.00,47.64,0.00,0.00,21.99,0.68,18.42,35.07,73,74,74.98,450,450,158.24,99.77,23.52,23.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.92,7.36,0.23,0.95,0.00,0.00
