test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,2.7.18,nbody.py 50000,0.387067,1171,1689599997.919285,-,-,690,17.23,4001,1896,2.29,1063,0,28,1562,1161,419,423,1,374,0,167,0.01,3.28,4.91,2.51,6.12,0.01,27.05,0.00,38.58,24.46,1.76,5.68,50.87,86,86,94.04,300,300,128.44,98.32,5.65,5.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.08,6.99,0.02,0.32,0.00,0.00
2,Python 2.7.18,nbody.py 50000,0.382716,1053,1689599998.344645,-,-,589,14.51,4058,1896,2.58,802,0,4,129,113,119,419,0,535,6,206,0.00,0.76,0.73,1.03,7.65,0.00,35.18,1.08,38.59,18.86,1.73,9.03,55.86,85,85,93.54,300,300,115.57,97.52,5.89,5.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.44,6.41,0.02,0.29,0.00,0.00
3,Python 2.7.18,nbody.py 50000,0.378032,1047,1689599998.752636,-,-,582,14.30,4067,1896,2.60,708,0,0,42,62,116,305,0,386,3,194,0.00,0.38,0.29,1.22,5.60,0.00,28.60,0.44,48.73,17.32,2.25,6.72,59.41,86,86,90.73,300,300,112.61,97.75,8.77,8.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.38,6.34,0.03,0.29,0.00,0.00
4,Python 2.7.18,nbody.py 50000,0.383845,1083,1689599999.176826,-,-,746,18.78,3971,1896,2.12,1112,0,24,3395,1080,79,117,0,355,2,219,0.01,5.61,2.78,0.26,1.85,0.00,25.98,0.23,44.33,21.73,0.23,2.32,56.94,87,87,94.83,300,300,134.08,98.55,4.60,4.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.14,7.09,0.02,0.34,0.00,0.00
5,Python 2.7.18,nbody.py 50000,0.378067,1096,1689599999.595207,-,-,570,13.99,4075,1896,2.63,644,0,1,21,69,110,324,0,408,2,193,0.00,0.22,0.48,1.20,6.25,0.00,28.30,1.29,47.88,17.64,1.74,7.09,59.54,86,91,93.11,300,300,109.44,97.95,6.32,6.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.33,6.29,0.02,0.28,0.00,0.00
6,Python 2.7.18,nbody.py 50000,0.369969,1078,1689600000.001968,-,-,554,13.58,4079,1896,2.76,580,0,0,12,65,112,263,0,364,4,183,0.00,0.10,0.56,0.80,5.16,0.00,29.14,0.67,49.63,16.90,2.36,6.58,60.58,84,89,93.79,300,300,108.71,97.91,5.65,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.11,6.11,0.02,0.27,0.00,0.00
7,Python 2.7.18,nbody.py 50000,0.384556,1028,1689600000.430637,-,-,760,19.10,3976,1896,2.10,1029,0,21,4015,1080,56,120,0,292,2,172,0.00,5.05,2.03,0.53,2.49,0.00,22.59,0.59,47.50,19.97,0.35,2.98,57.60,88,88,95.43,300,300,133.36,98.85,4.19,4.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.25,7.15,0.02,0.34,0.00,0.00
8,Python 2.7.18,nbody.py 50000,0.384135,1062,1689600000.853407,-,-,566,13.89,4078,1896,2.64,679,0,0,9,66,95,287,0,390,0,242,0.00,0.05,0.56,1.00,5.39,0.00,29.30,0.00,49.45,16.82,2.01,6.20,61.08,86,89,94.24,300,300,110.02,97.95,5.30,5.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.43,6.37,0.02,0.28,0.00,0.00
9,Python 2.7.18,nbody.py 50000,0.375821,1422,1689600001.261205,-,-,565,13.87,4078,1895,2.68,706,0,0,13,52,101,278,0,534,3,214,0.00,0.13,0.51,0.83,5.24,0.00,35.85,0.27,42.86,16.74,1.86,6.57,60.95,89,89,92.60,300,300,108.42,97.79,6.44,6.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.25,6.24,0.03,0.28,0.00,0.00
10,Python 2.7.18,nbody.py 50000,0.413495,1127,1689600001.711551,-,-,1117,28.58,3910,1896,1.61,1669,0,8,2997,1342,116,135,0,361,1,168,0.00,4.54,2.44,0.40,2.45,0.00,24.48,0.00,36.91,19.60,0.17,2.47,49.18,91,91,93.35,300,300,166.48,98.82,6.24,6.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.17,9.01,0.03,0.45,0.00,0.00
