version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 2.5.6,nbody.py 50000,0.381962,1096.1,1689599996.946592,0.00,0.00,704.00,17.63,3994.50,1896.00,2.25,1013.70,0.00,13.10,2407.80,876.70,204.70,246.90,0.40,378.40,3.50,191.80,0.01,4.06,2.31,1.15,4.51,0.00,27.92,0.58,41.60,20.92,0.90,4.46,56.08,83.20,84.70,94.72,300.00,300.00,127.78,98.45,4.87,4.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.85,6.80,0.02,0.32,0.00,0.00
Python 2.7.18,nbody.py 50000,0.38377,1116.7,1689600001.711551,0.00,0.00,673.90,16.78,4029.30,1895.90,2.40,899.20,0.00,8.60,1219.50,509.00,132.30,267.10,0.10,399.90,2.30,195.80,0.00,2.01,1.53,0.98,4.82,0.00,28.65,0.46,44.45,19.00,1.45,5.56,57.20,86.80,88.10,93.57,300.00,300.00,122.71,98.14,5.90,5.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.86,6.80,0.02,0.31,0.00,0.00
Python 3.0.1,nbody.py 50000,0.384076,1097.8,1689600006.492941,0.00,0.00,654.50,16.33,4017.90,1896.30,2.41,1141.90,0.00,18.50,1000.70,627.40,317.60,416.60,0.20,496.90,19.90,237.80,0.01,1.48,2.06,1.93,6.45,0.01,31.33,2.13,37.94,19.84,2.30,6.13,55.40,91.00,92.60,93.73,300.00,300.00,121.19,97.87,5.71,5.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.87,6.80,0.02,0.30,0.00,0.00
Python 3.4.10,nbody.py 50000,0.479315,1080.7,1689600012.242158,0.00,0.00,631.50,15.85,3987.30,1896.00,2.09,1626.10,0.00,27.80,1589.60,730.20,205.80,334.50,0.20,710.60,50.40,363.10,0.01,1.97,1.48,0.97,5.24,0.01,33.20,4.89,36.02,19.16,1.11,6.39,57.49,92.50,94.10,94.92,300.00,300.00,119.34,97.63,4.67,4.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.57,8.24,0.03,0.37,0.00,0.00
Python 3.5.10,nbody.py 50000,0.488387,1073.9,1689600018.229152,0.00,0.00,649.00,16.50,3944.70,1896.10,2.06,1720.40,0.00,9.10,1689.90,667.00,137.50,349.60,0.00,757.90,44.40,372.20,0.00,1.93,1.36,0.77,5.92,0.00,35.21,4.27,33.70,18.88,1.08,6.75,56.78,93.80,94.90,95.15,300.00,300.00,121.24,97.74,4.52,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.73,8.36,0.03,0.38,0.00,0.00
Python 3.6.15,nbody.py 50000,0.482236,1116.8,1689600024.171676,0.00,0.00,611.30,15.66,3894.00,1901.50,2.11,1729.70,0.00,9.80,1583.30,517.60,126.50,375.00,0.00,804.30,51.50,380.50,0.00,1.90,1.01,0.73,6.26,0.00,36.73,4.61,32.99,19.03,1.24,7.57,56.50,93.90,95.50,95.65,300.00,300.00,119.47,98.05,4.55,4.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.14,7.81,0.03,0.37,0.00,0.00
Python 3.7.16,nbody.py 50000,0.468393,1150.4,1689600030.115531,0.00,0.00,614.70,15.86,3880.40,1896.10,2.19,1617.60,0.00,12.70,1739.20,621.70,118.10,318.60,0.00,723.70,47.50,356.00,0.00,2.07,1.20,0.60,5.83,0.00,36.06,3.91,34.21,18.87,1.10,7.17,56.99,94.00,95.90,95.04,300.00,300.00,118.81,98.11,4.66,4.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.82,7.51,0.02,0.36,0.00,0.00
Python 3.8.16,nbody.py 50000,0.521302,1100.5,1689600036.420958,0.00,0.00,597.50,15.40,3881.60,1896.00,2.15,1776.00,0.00,16.30,1202.00,581.20,195.30,414.80,0.10,786.60,54.80,415.00,0.01,1.40,1.22,0.93,6.16,0.00,34.74,4.64,35.21,18.60,1.16,7.53,57.31,93.80,95.20,95.22,300.00,300.00,116.89,97.97,4.44,4.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.71,8.28,0.03,0.39,0.00,0.00
Python 3.9.16,nbody.py 50000,0.532329,1222.5,1689600042.859182,0.00,0.00,607.70,15.70,3873.90,1895.90,2.14,1737.90,0.00,30.00,1907.50,606.70,125.80,343.90,0.50,736.70,50.60,426.60,0.01,1.87,0.94,0.67,5.22,0.01,33.15,3.79,38.41,18.08,0.96,6.29,58.97,94.10,95.20,95.56,300.00,300.00,117.92,98.19,4.06,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.87,8.39,0.02,0.40,0.00,0.00
Python 3.10.11,nbody.py 50000,0.541218,1072.9,1689600049.421346,0.00,0.00,637.60,16.50,3864.10,1896.90,2.06,1798.60,0.00,21.30,1540.60,511.90,133.30,393.70,1.40,758.20,55.00,436.00,0.01,1.74,0.91,0.75,5.70,0.03,32.60,4.04,37.48,18.29,1.18,6.91,57.12,94.00,95.30,95.88,300.00,300.00,121.16,98.09,3.88,3.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.23,8.71,0.02,0.42,0.00,0.00
