test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.8.16,nbody.py 50000,511991724,0.98,0.48,0.51,0.22,0.09,0.03,6.68,2.71,0.00,0.05,2.03,511991724 ns,1826176759,3.585 GHz,4820820826,2.56,509.33 msec,0.995,1825000959,3.583 GHz,6,894470302,11345751,509.39 msec,0.995,1064 C,961760480,7884796,0.82%,0,789423656,8634,8634,0,266433,69143,25.951,1704685029,256580,0.02%,12157,75427,620.44%,330553,1673843165,9347,0.00%,21136,43220,204.49%,0,0
2,Python 3.8.16,nbody.py 50000,532260592,0.99,0.41,0.54,0.25,0.10,0.13,6.40,2.48,0.00,0.05,2.05,532260592 ns,1869646091,3.510 GHz,4976105014,2.62,532.62 msec,1.001,1866342343,3.504 GHz,31,912235819,11532049,532.66 msec,1.001,800 C,977580532,9023657,0.92%,0,794445719,8622,8622,0,147120,24496,16.650,1726120286,263560,0.02%,13673,411,3.01%,155873,1724665252,236,0.00%,22129,607686,2746.11%,0,0
3,Python 3.8.16,nbody.py 50000,530243090,0.98,0.49,0.50,0.22,0.09,0.03,6.77,2.72,0.00,0.09,1.97,530243090 ns,1836131722,3.480 GHz,4982147793,2.63,527.64 msec,0.995,1834093347,3.476 GHz,8,936843040,11865057,527.68 msec,0.995,1058 C,973903015,8028834,0.82%,0,791587532,8658,8658,0,152183,11403,7.493,1709128279,725002,0.04%,18188,698,3.84%,165822,1685164969,970,0.00%,35839,386285,1077.83%,0,0
4,Python 3.8.16,nbody.py 50000,543259241,0.99,0.43,0.51,0.25,0.09,0.03,6.79,2.72,0.00,0.07,1.97,543259241 ns,1843353852,3.391 GHz,4877571687,2.56,543.52 msec,1.000,1840951258,3.387 GHz,29,932008729,11811974,543.57 msec,1.001,808 C,962218900,8104954,0.84%,0,791589932,8652,8652,0,222105,20505,9.232,1715613083,323510,0.02%,21215,132,0.62%,154271,1721731798,31,0.00%,38714,131077,338.58%,0,0
5,Python 3.8.16,nbody.py 50000,518073280,0.99,0.48,0.50,0.21,0.09,0.03,6.79,2.74,0.00,0.04,2.02,518073280 ns,1830078981,3.551 GHz,4969253996,2.63,515.41 msec,0.995,1830193796,3.551 GHz,8,906822677,11482845,515.44 msec,0.995,1087 C,937948486,7558067,0.81%,0,784764790,8639,8639,0,281557,24058,8.545,1722654289,267535,0.02%,14885,681,4.58%,138175,1686596035,8811,0.00%,21457,4068,18.96%,0,0
6,Python 3.8.16,nbody.py 50000,542309397,1.00,0.41,0.48,0.25,0.10,0.05,6.61,2.67,0.00,0.11,2.00,542309397 ns,1822723619,3.361 GHz,4865233731,2.56,542.29 msec,1.000,1834747898,3.383 GHz,30,928481985,11793241,542.33 msec,1.000,838 C,964867481,7881282,0.82%,0,812359965,8625,8625,0,214930,33746,15.701,1767503042,643959,0.04%,57125,6337,11.09%,1279498,1662044541,1100,0.00%,59954,491,0.82%,0,0
7,Python 3.8.16,nbody.py 50000,506744313,0.99,0.41,0.53,0.28,0.09,0.03,6.80,2.70,0.00,0.07,2.07,506744313 ns,1833893724,3.634 GHz,4903957167,2.62,504.68 msec,0.996,1829573961,3.625 GHz,10,886460616,11213723,504.72 msec,0.996,1071 C,958429855,7697561,0.80%,0,788872276,8654,8654,0,203514,14783,7.264,1722251840,268390,0.02%,12022,74291,617.96%,347833,1685989608,9375,0.00%,13820,611,4.42%,0,0
8,Python 3.8.16,nbody.py 50000,530104500,0.99,0.41,0.53,0.26,0.09,0.12,6.72,2.67,0.00,0.04,2.05,530104500 ns,1863092990,3.513 GHz,4992930172,2.62,530.25 msec,1.000,1864909897,3.517 GHz,42,906984841,11483204,530.30 msec,1.000,814 C,974925677,8948820,0.92%,0,787588110,8651,8651,0,180497,67507,37.401,1707349620,351140,0.02%,19050,1833,9.62%,180000,1717338852,7779,0.00%,43527,72247,165.98%,0,0
9,Python 3.8.16,nbody.py 50000,506409434,0.99,0.39,0.59,0.27,0.11,0.05,6.77,2.72,0.00,0.05,2.07,506409434 ns,1826030969,3.623 GHz,4964699923,2.67,504.06 msec,0.995,1820325296,3.611 GHz,9,887470941,11213896,504.08 msec,0.995,1009 C,970843784,7838989,0.81%,0,789544676,8630,8630,0,95747,18050,18.852,1697625498,390104,0.02%,11066,1256,11.35%,300374,1677008693,6657,0.00%,23163,2937,12.68%,0,0
10,Python 3.8.16,nbody.py 50000,557494175,1.00,0.41,0.54,0.24,0.08,0.05,6.78,2.73,0.00,0.03,1.99,557494175 ns,1574491341,2.912 GHz,4336210246,2.52,540.63 msec,0.970,1601599950,2.962 GHz,28,812983358,10397768,540.68 msec,0.970,458 C,878160401,7222678,0.82%,0,728727162,8625,8625,0,225470,35421,15.710,1583783830,446009,0.03%,37802,527,1.39%,443317,1688921378,7,0.00%,85670,481584,562.14%,0,0
