test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,3.12.0b1,nbody.py 50000,0.465714,1365,1689608140.956054,-,-,714,26.13,2735,1896,1.62,5940,0,0,14,21,45,173,0,295,0,136,0.00,0.28,0.13,0.50,2.96,0.00,19.78,0.00,50.19,12.99,0.58,2.76,57.55,78,78,94.48,300,300,152.35,99.74,4.94,4.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.03,3.78,0.04,0.41,0.00,0.00
2,Python 3.12.0b1,nbody.py 50000,0.402342,1326,1689608141.401763,-,-,452,15.07,2999,1896,2.18,984,0,0,62,207,244,600,0,448,3,203,0.00,0.38,1.39,2.27,7.84,0.00,34.25,0.55,38.30,18.16,2.19,5.35,59.22,80,81,81.27,300,300,116.67,99.74,17.55,17.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.27,3.17,0.04,0.28,0.00,0.00
3,Python 3.12.0b1,nbody.py 50000,0.427271,1322,1689608141.869930,-,-,574,19.54,2939,1896,1.75,1522,0,7,2743,1056,230,190,0,556,4,167,0.00,4.81,2.39,0.76,2.80,0.00,34.70,0.32,34.78,21.10,0.41,3.46,55.48,79,79,73.02,300,300,138.30,99.76,25.09,25.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.83,3.63,0.06,0.35,0.00,0.00
4,Python 3.12.0b1,nbody.py 50000,0.397120,1348,1689608142.306195,-,-,439,14.48,3030,1896,2.26,809,0,0,25,72,85,362,0,434,2,148,0.00,0.16,0.43,1.10,6.52,0.00,29.29,0.00,48.02,16.57,1.59,7.58,59.78,79,79,82.85,300,300,114.90,99.69,15.79,15.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.20,3.12,0.04,0.27,0.00,0.00
5,Python 3.12.0b1,nbody.py 50000,0.396795,1321,1689608142.739624,-,-,451,14.38,3135,1896,2.21,662,0,1,90,228,251,534,0,311,0,123,0.00,0.39,1.43,2.03,6.83,0.00,24.24,0.00,50.72,17.61,1.45,5.53,61.03,79,81,93.75,300,300,113.39,99.71,5.50,5.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.47,3.40,0.01,0.27,0.00,0.00
6,Python 3.12.0b1,nbody.py 50000,0.415457,1288,1689608143.194066,-,-,583,19.29,3024,1896,1.78,1424,0,138,3041,1250,168,118,6,345,2,171,0.05,5.91,2.86,0.52,2.33,0.09,23.70,0.16,45.25,21.53,0.31,2.24,56.64,81,83,95.08,300,300,133.20,99.77,4.46,4.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.86,3.71,0.01,0.33,0.00,0.00
7,Python 3.12.0b1,nbody.py 50000,0.392695,1322,1689608143.628303,-,-,436,14.28,3057,1896,2.28,917,0,1,21,32,81,304,0,492,4,193,0.00,0.15,0.21,0.78,5.89,0.00,34.62,0.63,43.47,16.34,2.62,6.98,59.79,79,79,73.08,300,300,113.93,99.66,25.11,25.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.21,3.13,0.05,0.27,0.00,0.00
8,Python 3.12.0b1,nbody.py 50000,0.389075,1442,1689608144.056291,-,-,473,15.23,3108,1896,2.16,994,0,4,90,254,230,585,0,542,1,165,0.00,0.54,1.66,1.92,8.43,0.00,36.53,0.13,35.60,18.99,1.97,7.27,56.55,81,82,73.76,300,300,119.88,99.74,24.10,24.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.52,3.37,0.05,0.27,0.00,0.00
9,Python 3.12.0b1,nbody.py 50000,0.408934,1278,1689608144.512319,-,-,559,18.69,2992,1896,1.84,1082,0,8,2450,1058,237,129,0,270,2,153,0.00,4.53,2.65,0.66,1.69,0.00,23.88,0.48,47.50,20.08,0.29,1.11,59.82,79,81,91.70,300,300,131.50,99.77,7.37,7.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.62,3.51,0.02,0.32,0.00,0.00
10,Python 3.12.0b1,nbody.py 50000,0.382553,1287,1689608144.937953,-,-,414,13.24,3128,1896,2.43,520,0,2,10,42,76,212,0,330,0,126,0.00,0.09,0.21,0.74,4.21,0.00,30.58,0.00,50.93,14.96,2.65,4.70,64.45,80,82,98.03,300,300,106.05,99.62,1.45,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.08,3.08,0.00,0.24,0.00,0.00
