test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,3.5.10,nbody.py 50000,0.483229,1052,1689608060.465051,-,-,522,13.47,3874,1896,2.36,957,0,3,89,50,83,269,0,344,39,318,0.00,0.46,0.25,0.70,4.09,0.00,21.22,5.47,54.11,15.91,1.45,3.80,65.37,96,96,93.74,400,300,107.43,98.53,5.65,5.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.42,7.13,0.03,0.36,0.00,0.00
2,Python 3.5.10,nbody.py 50000,0.514599,1125,1689608061.022945,-,-,647,17.13,3773,1898,1.91,2205,0,27,2953,1182,130,166,1,620,89,580,0.01,3.48,2.02,0.51,2.91,0.02,30.71,6.50,36.76,19.23,0.26,2.63,60.76,95,95,95.41,400,300,123.13,99.04,4.26,4.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.36,7.87,0.02,0.42,0.00,0.00
3,Python 3.5.10,nbody.py 50000,0.500101,1366,1689608061.558809,-,-,501,13.24,3779,1897,2.37,1647,0,0,11,68,94,277,0,584,90,621,0.00,0.13,0.29,0.65,4.42,0.00,29.58,5.99,45.58,15.68,1.74,4.81,64.54,93,96,95.18,400,300,104.58,98.43,4.36,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.27,6.83,0.02,0.35,0.00,0.00
4,Python 3.5.10,nbody.py 50000,0.502726,1076,1689608062.100517,-,-,644,17.10,3769,1896,1.95,1924,0,13,3788,1013,105,79,0,450,93,554,0.01,3.92,1.31,0.25,1.89,0.00,22.38,8.19,44.95,19.03,0.20,2.26,61.42,93,96,95.48,400,300,124.66,99.03,4.09,4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.18,7.79,0.02,0.41,0.00,0.00
5,Python 3.5.10,nbody.py 50000,0.495694,1115,1689608062.635728,-,-,500,13.11,3812,1896,2.39,1474,0,0,25,59,93,240,0,470,87,571,0.00,0.18,0.28,0.65,4.11,0.00,26.04,6.79,48.62,16.09,1.43,4.71,64.66,94,94,93.81,400,300,105.09,98.21,5.80,5.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.22,6.86,0.03,0.35,0.00,0.00
6,Python 3.5.10,nbody.py 50000,0.512090,1111,1689608063.187556,-,-,643,17.10,3757,1896,1.92,1669,0,48,3693,1129,106,95,0,372,55,445,0.02,3.54,1.36,0.43,1.63,0.00,20.43,5.07,50.43,18.26,0.33,2.09,62.21,94,96,95.30,400,300,124.91,99.24,4.49,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.37,7.93,0.03,0.42,0.00,0.00
7,Python 3.5.10,nbody.py 50000,0.472284,1045,1689608063.697571,-,-,516,13.07,3946,1896,2.43,693,0,2,9,50,86,218,0,327,8,198,0.00,0.08,0.43,0.75,3.55,0.00,20.47,1.29,60.13,15.33,2.16,3.62,65.82,96,96,93.80,400,300,104.75,98.45,5.32,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.49,7.18,0.03,0.34,0.00,0.00
8,Python 3.5.10,nbody.py 50000,0.514998,1023,1689608064.256943,-,-,645,17.10,3773,1896,1.90,2115,0,33,3652,1039,89,99,0,500,97,623,0.01,3.78,1.35,0.29,1.94,0.00,23.34,7.21,44.95,18.69,0.28,2.45,61.49,92,95,94.76,400,300,123.16,98.87,4.81,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.32,7.90,0.03,0.42,0.00,0.00
9,Python 3.5.10,nbody.py 50000,0.493119,1125,1689608064.787532,-,-,499,13.18,3788,1896,2.40,1616,0,0,14,67,94,226,0,526,110,603,0.00,0.07,0.32,0.67,3.60,0.00,26.93,8.46,46.56,15.94,1.87,4.30,64.70,93,96,94.70,400,300,105.61,98.34,4.86,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.18,6.83,0.03,0.35,0.00,0.00
10,Python 3.5.10,nbody.py 50000,0.505749,1074,1689608065.332523,-,-,659,17.50,3764,1896,1.92,2057,0,12,3657,1128,164,139,0,470,101,603,0.01,3.40,1.25,0.73,3.18,0.00,22.38,6.84,44.66,18.84,0.48,3.24,59.94,93,96,93.72,400,300,127.68,98.92,5.63,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.26,7.84,0.03,0.43,0.00,0.00
