test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 2.5.6,binarytrees.py 21,0.050830,1003,1686570508.329574,-,-,1985,52.17,3800,1899,0.63,749,0,25,3795,911,73,28,0,2,0,0,0.06,34.83,11.45,1.57,0.80,0.00,0.03,0.00,0.00,47.63,0.18,0.02,0.00,61,63,80.66,300,300,293.81,99.67,18.65,18.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.47,0.01,0.10,0.00,0.00
2,Python 2.5.6,binarytrees.py 21,0.041486,1140,1686570508.448488,-,-,934,24.29,3853,1894,0.77,350,0,3,895,346,109,110,0,32,0,0,0.01,20.39,12.31,7.62,17.18,0.00,18.13,0.00,0.00,49.34,6.55,13.90,5.93,58,58,79.54,300,300,160.27,97.16,17.43,17.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.76,0.01,0.05,0.00,0.00
3,Python 2.5.6,binarytrees.py 21,0.042406,1081,1686570508.515810,-,-,615,15.26,4026,1898,0.89,274,0,0,14,37,75,173,0,103,0,0,0.00,0.79,2.47,6.79,28.65,0.00,45.16,0.00,0.00,27.26,15.59,25.14,16.75,62,62,61.31,300,300,121.17,93.04,36.28,33.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.63,0.01,0.05,0.00,0.00
4,Python 2.5.6,binarytrees.py 21,0.041664,1068,1686570508.583290,-,-,601,14.93,4025,1898,0.93,269,0,0,6,35,75,180,0,90,0,0,0.00,0.53,2.07,7.45,28.41,0.00,45.82,0.00,0.00,26.81,12.89,33.18,12.19,58,58,64.80,300,300,121.35,93.47,33.61,31.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.62,0.01,0.04,0.00,0.00
5,Python 2.5.6,binarytrees.py 21,0.041884,1062,1686570508.650595,-,-,628,15.62,4015,1898,0.90,269,0,0,12,46,86,193,0,78,0,0,0.00,1.40,2.58,6.20,32.54,0.00,40.51,0.00,0.00,29.10,16.51,29.84,8.93,59,59,66.85,300,300,124.88,92.89,33.39,30.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.64,0.01,0.05,0.00,0.00
6,Python 2.5.6,binarytrees.py 21,0.041767,1078,1686570508.717412,-,-,601,14.92,4023,1897,0.93,260,0,0,20,46,76,185,0,81,0,0,0.00,1.50,2.18,7.43,27.43,0.00,45.39,0.00,0.00,28.40,15.88,33.17,7.64,63,63,62.25,300,300,120.20,92.12,37.34,33.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.63,0.01,0.04,0.00,0.00
7,Python 2.5.6,binarytrees.py 21,0.042004,1082,1686570508.786994,-,-,673,16.79,3987,1906,0.95,278,0,0,59,92,97,229,0,63,0,0,0.00,2.55,3.66,8.72,36.40,0.00,31.32,0.00,0.00,30.60,13.59,34.28,4.75,61,61,64.28,300,300,132.95,93.35,34.47,31.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.68,0.01,0.05,0.00,0.00
8,Python 2.5.6,binarytrees.py 21,0.040412,1022,1686570508.857965,-,-,573,14.55,3930,1900,0.99,272,0,0,14,95,97,180,0,75,0,2,0.00,0.88,5.31,7.89,20.47,0.00,48.56,0.00,1.69,31.52,20.58,22.94,10.41,61,61,64.34,300,300,117.45,93.67,33.38,30.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.58,0.01,0.04,0.00,0.00
9,Python 2.5.6,binarytrees.py 21,0.039607,1095,1686570508.924436,-,-,519,13.03,3980,1898,1.07,237,0,0,11,41,70,190,0,75,0,9,0.00,0.36,2.54,6.66,32.39,0.00,43.12,0.00,1.59,25.82,21.14,30.39,9.63,63,63,88.37,300,300,106.81,94.12,10.32,9.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.55,0.00,0.02,0.00,0.00
10,Python 2.5.6,binarytrees.py 21,0.040603,1053,1686570508.995146,-,-,526,13.01,4044,1897,1.03,253,0,0,7,43,71,175,0,86,0,2,0.00,0.76,2.50,6.28,22.19,0.00,52.61,0.00,1.90,26.80,18.63,26.05,15.52,59,60,71.42,300,300,106.54,92.52,26.92,24.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.58,0.01,0.03,0.00,0.00
