test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.12.0b1,fibonacci.py 100000,0.309833,5901,1686822181.728089,-,-,517,14.18,3661,1887,1.80,717,0,9,153,176,91,313,0,292,5,163,0.01,1.21,1.42,0.76,6.49,0.00,27.62,1.08,46.79,18.59,1.19,7.27,58.76,73,72,94.57,300,300,110.18,95.52,3.44,3.38,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.90,3.88,0.01,0.32,0.00,0.00
2,Python 3.12.0b1,fibonacci.py 100000,0.293814,6378,1686822182.059256,-,-,502,13.77,3666,1884,1.85,550,0,3,45,85,65,239,0,260,0,105,0.00,1.35,1.25,0.80,6.22,0.00,23.62,0.00,52.38,16.77,2.21,7.13,60.12,71,75,95.98,300,300,108.47,98.34,2.35,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.74,3.66,0.01,0.29,0.00,0.00
3,Python 3.12.0b1,fibonacci.py 100000,0.300985,1935,1686822182.399925,-,-,741,20.95,3537,1895,1.39,968,0,15,3524,1287,107,55,0,151,3,84,0.01,6.52,2.92,0.68,1.45,0.00,19.72,0.01,47.76,20.70,0.22,1.12,57.01,80,81,97.01,300,300,140.30,99.19,2.43,2.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.57,4.44,0.01,0.36,0.00,0.00
4,Python 3.12.0b1,fibonacci.py 100000,0.295063,6164,1686822182.733571,-,-,523,14.27,3679,1890,1.81,562,0,0,34,68,69,219,0,280,2,127,0.00,0.99,1.05,0.90,4.97,0.00,31.84,0.77,44.82,19.21,2.79,5.49,58.24,70,74,94.22,300,300,111.33,97.70,3.83,3.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.86,3.77,0.01,0.30,0.00,0.00
5,Python 3.12.0b1,fibonacci.py 100000,0.286466,1459,1686822183.055937,-,-,537,14.45,3713,1896,1.79,627,0,3,7,44,71,212,0,198,0,86,0.00,0.07,0.39,1.21,5.09,0.00,25.69,0.00,53.00,15.54,2.32,5.79,61.90,76,76,97.39,300,300,112.02,99.24,2.27,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.86,3.79,0.01,0.29,0.00,0.00
6,Python 3.12.0b1,fibonacci.py 100000,0.320564,1471,1686822183.416575,-,-,752,26.10,2880,1896,1.37,1432,0,10,1471,1729,891,645,0,408,1,118,0.00,4.15,7.91,5.42,7.48,0.00,26.20,0.39,22.30,28.85,2.69,4.76,37.60,78,78,95.77,300,300,163.15,98.88,3.82,3.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.66,4.63,0.01,0.37,0.00,0.00
7,Python 3.12.0b1,fibonacci.py 100000,0.288587,1423,1686822183.745531,-,-,511,13.86,3675,1903,1.82,552,0,0,169,131,73,201,0,268,0,97,0.00,2.00,1.22,0.98,5.03,0.00,30.83,0.00,46.32,18.63,2.57,5.21,59.73,75,77,97.37,300,300,109.36,99.17,2.50,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.59,3.69,0.01,0.30,0.00,0.00
8,Python 3.12.0b1,fibonacci.py 100000,0.291473,1544,1686822184.069914,-,-,505,13.61,3714,1895,1.86,526,0,1,13,41,69,230,0,231,1,108,0.00,0.21,0.34,0.72,5.46,0.00,28.37,0.12,51.05,15.52,2.81,6.30,61.75,71,71,93.32,300,300,108.09,99.07,4.87,4.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.64,3.72,0.01,0.30,0.00,0.00
9,Python 3.12.0b1,fibonacci.py 100000,0.332427,6021,1686822184.439965,-,-,774,27.13,2866,1888,1.36,1438,0,17,1819,1735,975,727,0,169,5,155,0.01,4.73,7.51,5.55,7.48,0.00,11.84,0.28,35.12,29.19,3.73,3.13,36.82,75,75,95.96,300,300,164.62,97.81,2.18,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.72,4.66,0.01,0.38,0.00,0.00
10,Python 3.12.0b1,fibonacci.py 100000,0.292695,1722,1686822184.771388,-,-,528,14.47,3654,1894,1.79,571,0,1,38,69,76,226,0,316,0,142,0.00,0.50,1.15,1.17,5.76,0.00,30.82,0.00,45.97,17.45,3.16,6.10,58.83,72,71,93.61,300,300,112.62,99.05,4.55,4.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.65,3.80,0.01,0.30,0.00,0.00
