test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.6.15,fibonacci.py 100000,0.063771,1128,1686822162.783026,-,-,782,20.96,3731,1897,0.90,494,0,17,173,321,226,478,0,93,0,0,0.08,4.46,7.95,11.69,33.13,0.00,22.04,0.00,0.00,39.90,8.67,21.98,8.49,68,68,87.81,300,300,150.27,94.41,11.16,9.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.26,1.02,0.01,0.08,0.00,0.00
2,Python 3.6.15,fibonacci.py 100000,0.057819,1191,1686822162.906952,-,-,778,23.28,3334,1901,0.83,407,0,4,317,595,476,365,0,31,0,0,0.01,11.24,15.57,17.70,22.04,0.00,10.67,0.00,0.00,48.78,8.75,12.90,6.29,67,67,93.39,300,300,161.83,99.49,6.80,6.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.75,0.00,0.06,0.00,0.00
3,Python 3.6.15,fibonacci.py 100000,0.058417,1025,1686822163.022533,-,-,1394,39.57,3498,1910,0.83,652,0,6,848,1020,510,292,0,3,0,0,0.02,7.87,22.95,17.11,13.10,0.00,0.19,0.00,0.00,50.42,8.34,1.66,0.00,73,75,97.57,300,300,244.15,100.19,2.68,2.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,1.27,0.00,0.08,0.00,0.00
4,Python 3.6.15,fibonacci.py 100000,0.053664,1107,1686822163.107095,-,-,604,15.80,3824,1897,0.93,325,0,1,16,37,44,221,0,120,0,3,0.00,0.85,1.68,3.50,26.10,0.00,49.87,0.00,2.13,22.40,12.47,22.92,26.41,74,74,85.72,300,300,121.38,97.99,13.16,12.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.72,0.01,0.05,0.00,0.00
5,Python 3.6.15,fibonacci.py 100000,0.050093,1133,1686822163.188198,-,-,520,14.05,3695,1899,1.07,259,0,0,6,54,65,196,0,92,0,9,0.00,0.34,2.26,3.94,25.59,0.00,48.72,0.00,5.31,23.15,11.12,36.06,15.62,74,74,85.84,300,300,112.94,98.41,12.50,12.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.60,0.01,0.04,0.00,0.00
6,Python 3.6.15,fibonacci.py 100000,0.050582,1147,1686822163.269668,-,-,567,15.33,3700,1896,1.05,294,0,2,43,57,73,210,0,112,0,0,0.01,2.15,2.31,4.47,28.14,0.00,47.72,0.00,0.00,26.93,11.58,27.70,18.46,72,73,85.01,300,300,120.71,98.38,13.92,13.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.65,0.01,0.05,0.00,0.00
7,Python 3.6.15,fibonacci.py 100000,0.050381,1135,1686822163.351874,-,-,520,14.04,3700,1897,1.07,262,0,0,10,35,63,207,0,88,0,10,0.00,0.69,1.38,5.96,26.82,0.00,42.22,0.00,9.01,22.11,19.11,28.62,16.11,70,70,85.35,300,300,112.41,98.15,13.48,13.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.60,0.01,0.04,0.00,0.00
8,Python 3.6.15,fibonacci.py 100000,0.050214,1166,1686822163.431993,-,-,544,14.71,3700,1895,1.04,277,0,0,17,40,91,202,0,101,0,0,0.00,1.70,2.50,7.22,28.54,0.00,45.39,0.00,0.00,24.55,21.52,20.11,19.10,68,71,83.64,300,300,116.76,98.34,14.64,14.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.62,0.01,0.05,0.00,0.00
9,Python 3.6.15,fibonacci.py 100000,0.050094,1136,1686822163.512667,-,-,525,14.20,3696,1896,1.08,260,0,0,6,56,76,180,0,101,0,1,0.00,0.20,2.11,4.75,23.66,0.00,54.47,0.00,0.69,23.01,14.60,28.78,19.41,71,73,85.84,300,300,114.53,98.07,13.54,13.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.61,0.01,0.04,0.00,0.00
10,Python 3.6.15,fibonacci.py 100000,0.051084,1185,1686822163.593741,-,-,502,13.93,3605,1895,1.08,270,0,0,12,41,72,183,0,113,0,0,0.00,1.03,1.58,5.62,23.13,0.00,54.73,0.00,0.00,22.99,16.35,28.82,17.90,69,71,86.13,300,300,112.08,98.22,14.00,13.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.58,0.01,0.04,0.00,0.00
