test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.12.0b1,fibonacci_oldVersions.py 100000,0.315637,1653,1686826434.070895,-,-,862,30.61,2816,1895,1.28,1809,0,20,2395,1541,722,512,0,237,0,46,0.01,3.59,6.59,4.59,7.06,0.00,25.36,0.00,22.10,24.91,3.50,3.26,37.72,73,76,93.78,300,300,181.97,98.76,5.56,5.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.45,4.57,0.02,0.40,0.00,0.00
2,Python 3.12.0b1,fibonacci_oldVersions.py 100000,0.281576,3233,1686826434.391076,-,-,582,16.28,3583,1892,1.69,686,0,0,21,61,79,298,0,373,0,154,0.00,0.31,0.61,1.11,7.05,0.00,36.79,0.00,37.49,18.68,2.65,9.41,52.98,71,74,82.39,400,400,126.12,98.33,16.35,16.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.68,3.78,0.05,0.35,0.00,0.00
3,Python 3.12.0b1,fibonacci_oldVersions.py 100000,0.287925,7463,1686826434.719804,-,-,516,14.71,3529,1885,1.78,590,0,1,54,68,88,281,0,272,2,131,0.00,2.00,0.87,1.19,6.40,0.00,29.66,0.50,44.05,19.12,2.46,8.12,55.59,70,77,93.08,400,300,113.37,97.67,4.88,4.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.27,3.46,0.02,0.30,0.00,0.00
4,Python 3.12.0b1,fibonacci_oldVersions.py 100000,0.285175,1571,1686826435.047974,-,-,775,22.36,3462,1899,1.37,1171,0,26,3397,1437,141,48,0,223,2,104,0.02,8.11,4.09,0.77,1.31,0.00,28.11,0.69,34.70,24.87,0.38,1.32,51.07,75,77,97.48,400,400,149.81,99.41,2.76,2.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.19,4.31,0.01,0.36,0.00,0.00
5,Python 3.12.0b1,fibonacci_oldVersions.py 100000,0.269595,1378,1686826435.359157,-,-,513,13.82,3709,1896,1.89,583,0,0,55,58,74,224,1,308,3,86,0.00,1.30,0.73,1.19,6.20,0.05,35.90,0.65,40.08,18.21,3.26,6.25,58.46,75,76,95.70,400,300,109.89,99.04,4.07,4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.36,3.51,0.01,0.28,0.00,0.00
6,Python 3.12.0b1,fibonacci_oldVersions.py 100000,0.273828,3755,1686826435.671032,-,-,534,14.48,3701,1888,1.80,684,0,9,89,70,63,227,3,408,2,104,0.01,2.17,2.52,0.70,5.62,0.20,40.95,0.14,32.75,21.88,3.27,6.11,54.26,71,76,95.68,400,400,113.97,98.39,3.19,3.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.53,3.65,0.01,0.29,0.00,0.00
7,Python 3.12.0b1,fibonacci_oldVersions.py 100000,0.281143,6363,1686826435.987446,-,-,690,19.56,3561,1878,1.49,919,0,14,2718,784,133,189,0,212,1,69,0.01,5.55,2.67,1.54,3.57,0.00,24.00,0.01,42.37,21.97,1.00,2.80,54.68,78,78,93.55,400,400,135.71,98.48,4.17,4.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.89,4.06,0.01,0.33,0.00,0.00
8,Python 3.12.0b1,fibonacci_oldVersions.py 100000,0.281963,3872,1686826436.309913,-,-,675,19.43,3502,1881,1.51,893,0,2,1720,995,289,134,0,260,0,60,0.00,5.36,2.99,1.71,2.16,0.00,35.08,0.00,32.62,21.46,1.08,1.66,56.37,74,76,95.05,400,300,135.27,98.94,3.61,3.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.78,3.94,0.01,0.34,0.00,0.00
9,Python 3.12.0b1,fibonacci_oldVersions.py 100000,0.267270,1337,1686826436.613232,-,-,528,14.18,3725,1896,1.83,556,0,1,41,53,76,203,0,251,0,89,0.00,0.40,0.45,1.17,5.64,0.00,28.79,0.00,49.27,16.39,3.39,5.19,60.85,77,79,95.41,400,300,111.51,99.10,3.97,3.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.34,3.54,0.01,0.28,0.00,0.00
10,Python 3.12.0b1,fibonacci_oldVersions.py 100000,0.277638,6680,1686826436.930233,-,-,525,14.41,3659,1888,1.83,574,0,1,39,98,95,281,0,338,0,76,0.00,0.39,1.47,1.14,6.65,0.00,35.82,0.00,39.61,18.47,3.81,6.68,56.63,71,75,94.01,400,400,109.35,97.44,3.61,3.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.38,3.56,0.01,0.29,0.00,0.00
