test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.5.10,fibonacci_oldVersions.py 100000,0.286780,4468,1686826410.568516,-,-,572,16.00,3611,1878,1.70,622,0,1,483,220,152,243,0,232,0,68,0.00,2.23,1.02,1.71,4.40,0.00,27.69,0.00,46.08,18.07,2.35,4.50,59.08,69,70,91.71,300,300,119.30,98.97,6.83,6.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.52,3.67,0.02,0.32,0.00,0.00
2,Python 3.5.10,fibonacci_oldVersions.py 100000,0.296615,4513,1686826410.902934,-,-,601,16.78,3597,1890,1.63,723,0,2,45,125,97,349,0,434,0,145,0.00,0.77,1.88,1.38,7.19,0.00,39.89,0.00,31.61,21.34,2.23,8.13,51.52,64,64,84.62,300,300,123.80,97.83,13.85,13.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.83,3.93,0.05,0.36,0.00,0.00
3,Python 3.5.10,fibonacci_oldVersions.py 100000,0.292427,2817,1686826411.235579,-,-,501,14.04,3574,1893,1.84,577,0,3,15,46,83,266,0,266,2,61,0.00,0.46,0.33,1.14,5.92,0.00,30.85,0.86,46.19,15.58,4.39,5.20,60.79,72,71,91.99,300,300,108.41,99.04,7.47,7.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.31,3.44,0.03,0.33,0.00,0.00
4,Python 3.5.10,fibonacci_oldVersions.py 100000,0.292660,4441,1686826411.570413,-,-,778,21.72,3600,1886,1.39,1108,0,13,3531,1469,148,114,0,274,2,78,0.01,7.35,3.51,1.08,2.34,0.00,29.93,0.46,33.19,23.68,0.51,2.07,52.02,71,72,93.97,300,300,144.92,98.53,4.63,4.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.37,4.50,0.01,0.36,0.00,0.00
5,Python 3.5.10,fibonacci_oldVersions.py 100000,0.282996,1316,1686826411.891328,-,-,559,14.97,3735,1896,1.76,744,0,1,122,187,141,361,0,428,0,87,0.00,1.52,1.68,1.50,8.36,0.00,44.96,0.00,26.83,19.04,3.46,8.35,54.18,69,71,97.17,300,300,112.38,98.82,2.70,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.57,3.75,0.01,0.30,0.00,0.00
6,Python 3.5.10,fibonacci_oldVersions.py 100000,0.275043,1308,1686826412.202616,-,-,509,13.49,3770,1896,1.92,520,0,0,10,30,60,183,0,289,0,85,0.00,0.14,0.19,0.68,5.59,0.00,33.26,0.00,46.58,15.35,1.77,6.75,62.63,68,68,97.08,300,300,107.50,99.24,2.78,2.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.28,3.49,0.01,0.28,0.00,0.00
7,Python 3.5.10,fibonacci_oldVersions.py 100000,0.291643,5012,1686826412.533128,-,-,741,21.22,3526,1878,1.42,1055,0,10,3507,1322,130,64,0,213,0,64,0.00,6.24,2.86,0.49,1.52,0.00,26.44,0.00,40.54,21.07,0.38,0.98,56.35,69,71,93.61,300,300,143.24,98.95,4.88,4.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.12,4.26,0.01,0.35,0.00,0.00
8,Python 3.5.10,fibonacci_oldVersions.py 100000,0.290771,8182,1686826412.866096,-,-,623,17.53,3567,1890,1.63,750,0,8,901,494,212,239,0,266,1,122,0.01,4.59,3.12,1.55,5.03,0.00,25.34,0.12,42.38,22.09,2.05,3.68,54.64,62,71,94.92,300,300,122.27,97.09,2.63,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,3.89,0.01,0.32,0.00,0.00
9,Python 3.5.10,fibonacci_oldVersions.py 100000,0.281139,5827,1686826413.186178,-,-,505,13.66,3741,1873,1.88,542,0,0,15,24,53,228,0,294,2,75,0.00,0.19,0.34,0.69,5.45,0.00,32.81,0.42,45.29,15.98,3.28,5.84,61.24,70,70,91.77,300,300,107.36,98.65,6.30,6.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,3.56,0.02,0.29,0.00,0.00
10,Python 3.5.10,fibonacci_oldVersions.py 100000,0.284431,1280,1686826413.505441,-,-,674,18.31,3680,1896,1.51,925,0,6,2375,506,108,203,0,239,0,64,0.00,4.51,1.38,1.06,4.77,0.00,27.92,0.00,42.05,19.44,0.84,3.75,57.66,71,72,97.39,300,300,128.61,99.24,2.65,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.94,4.10,0.01,0.32,0.00,0.00
