python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 2.5.6,fibonacci_oldVersions.py 100000,0.402671,1974.3,1686826399.375786,0.00,0.00,634.70,18.25,3524.10,1895.50,2.10,1154.60,0.00,10.50,1443.30,802.70,263.30,386.90,0.20,437.20,2.00,154.10,0.01,2.69,2.71,1.67,5.13,0.00,28.26,0.41,40.69,20.95,1.80,4.59,54.40,60.70,61.50,85.99,308.30,308.30,129.88,98.89,13.65,13.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.69,5.47,0.07,0.46,0.00,0.00
Python 2.7.18,fibonacci_oldVersions.py 100000,0.278021,3672.2,1686826402.659342,0.00,0.00,579.10,16.20,3594.20,1890.60,1.72,675.10,0.00,4.30,840.20,393.80,108.30,203.90,0.60,271.60,1.10,101.50,0.00,2.41,1.72,1.01,4.86,0.05,31.05,0.07,42.33,19.14,1.79,5.63,57.25,60.20,61.70,94.95,300.00,300.00,120.33,98.61,3.76,3.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.34,3.51,0.01,0.31,0.00,0.00
Python 3.0.1,fibonacci_oldVersions.py 100000,0.357314,1806.3,1686826406.737532,0.00,0.00,599.40,17.53,3526.90,1895.60,2.08,918.70,0.00,10.00,880.90,620.80,211.70,274.30,0.40,318.40,0.80,124.60,0.00,2.08,2.35,1.49,4.28,0.01,27.07,0.14,44.92,19.52,1.86,4.06,57.04,64.90,66.30,95.05,300.00,300.00,126.11,99.09,4.71,4.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.95,4.91,0.02,0.37,0.00,0.00
Python 3.4.10,fibonacci_oldVersions.py 100000,0.289089,1801.7,1686826410.144055,0.00,0.00,594.50,17.02,3554.60,1894.40,1.71,792.90,0.00,6.50,874.80,512.40,178.10,249.40,0.50,303.20,1.30,97.90,0.00,2.66,1.92,1.42,4.93,0.01,31.80,0.24,39.86,19.99,2.40,5.20,55.39,66.70,67.80,94.49,300.00,300.00,124.85,98.97,5.07,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.69,3.83,0.02,0.32,0.00,0.00
Python 3.5.10,fibonacci_oldVersions.py 100000,0.28745,3916.4,1686826413.505441,0.00,0.00,606.30,16.77,3640.10,1887.60,1.67,756.60,0.00,4.40,1100.40,442.30,118.40,225.00,0.00,293.50,0.70,84.90,0.00,2.80,1.63,1.13,5.06,0.00,31.91,0.19,40.07,19.16,2.13,4.92,57.01,68.50,70.00,93.42,300.00,300.00,121.78,98.64,5.47,5.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,3.86,0.02,0.32,0.00,0.00
Python 3.6.15,fibonacci_oldVersions.py 100000,0.29533,1942.9,1686826416.960620,0.00,0.00,611.40,17.99,3506.90,1894.20,1.65,857.90,0.00,8.90,633.50,643.40,304.10,361.10,0.10,306.60,0.60,107.00,0.01,1.85,3.55,2.42,6.10,0.01,30.47,0.12,37.32,21.67,2.85,5.24,52.25,70.10,71.40,93.80,300.00,300.00,129.29,98.87,5.64,5.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.90,4.02,0.02,0.33,0.00,0.00
Python 3.7.16,fibonacci_oldVersions.py 100000,0.28399,1396.1,1686826420.285160,0.00,0.00,603.20,17.64,3514.30,1897.60,1.70,771.40,0.00,10.50,833.40,634.70,262.20,286.20,1.10,264.80,0.90,95.00,0.01,2.80,2.77,1.96,5.46,0.03,29.48,0.10,39.76,20.64,2.31,5.10,54.32,72.40,72.90,95.65,300.00,300.00,127.23,99.04,4.11,4.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.72,3.90,0.01,0.32,0.00,0.00
Python 3.8.16,fibonacci_oldVersions.py 100000,0.283404,1951.5,1686826423.664752,0.00,0.00,594.50,16.38,3644.80,1894.30,1.70,727.10,0.00,5.30,987.60,404.80,109.40,199.80,0.00,288.60,1.30,89.20,0.00,2.82,1.49,1.19,4.67,0.00,32.35,0.30,40.64,19.10,2.28,5.11,57.13,71.90,73.00,93.47,300.00,300.00,121.31,98.97,6.02,5.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,3.85,0.02,0.32,0.00,0.00
Python 3.9.16,fibonacci_oldVersions.py 100000,0.282609,1373.2,1686826426.999891,0.00,0.00,610.00,17.43,3556.40,1895.90,1.69,796.10,0.00,7.50,983.70,578.00,215.70,230.80,0.70,272.60,0.90,92.60,0.00,3.15,2.54,1.67,4.48,0.03,32.50,0.24,37.89,20.77,2.28,4.47,55.04,73.80,74.70,95.95,300.00,300.00,126.45,99.02,3.71,3.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.73,3.87,0.01,0.31,0.00,0.00
Python 3.10.11,fibonacci_oldVersions.py 100000,0.289275,1384.3,1686826430.386669,0.00,0.00,615.20,17.33,3619.20,1896.00,1.65,801.90,0.00,16.60,1026.80,559.60,194.00,261.30,0.30,286.20,0.80,86.90,0.01,3.14,2.34,1.54,5.13,0.04,29.98,0.33,40.09,20.55,2.30,4.99,54.83,75.90,76.40,94.77,300.00,300.00,125.60,98.99,4.81,4.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.91,4.05,0.02,0.32,0.00,0.00
Python 3.11.3,fibonacci_oldVersions.py 100000,0.275441,2243.9,1686826433.629004,0.00,0.00,605.90,16.92,3600.00,1893.40,1.68,730.20,0.00,3.30,864.20,484.20,134.50,201.90,0.10,276.20,1.00,96.10,0.00,2.99,2.19,1.02,4.59,0.02,32.35,0.14,39.60,20.09,1.83,4.96,56.20,74.70,76.60,95.24,300.00,300.00,125.14,99.02,4.23,4.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.57,3.74,0.01,0.31,0.00,0.00
Python 3.12.0b1,fibonacci_oldVersions.py 100000,0.282175,3730.5,1686826436.930233,0.00,0.00,620.00,17.98,3524.70,1889.80,1.65,846.50,0.00,7.40,1052.90,516.50,176.00,239.70,0.40,288.20,1.00,91.90,0.01,2.92,2.30,1.51,5.17,0.03,32.05,0.20,37.50,20.60,2.48,5.08,53.86,73.50,76.40,93.61,390.00,350.00,128.70,98.56,5.22,5.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.69,3.84,0.02,0.32,0.00,0.00
Python 3.13.0a0,fibonacci_oldVersions.py 100000,0.272648,2299.4,1686826440.151772,0.00,0.00,603.30,16.54,3672.30,1892.10,1.73,703.90,0.00,4.00,797.20,384.70,101.30,197.50,0.10,276.60,0.50,83.70,0.00,2.55,1.58,0.96,4.79,0.02,31.56,0.09,41.66,19.65,2.04,4.85,56.92,75.20,76.50,95.11,398.30,318.30,122.98,98.95,4.02,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.66,3.83,0.01,0.30,0.00,0.00
