test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.0.1,fibonacci.py 20578,0.113680,1331,1686763077.973911,-,-,1028,34.28,2999,1897,0.82,909,0,17,2468,1491,254,128,0,106,1,21,0.03,13.50,11.05,3.62,6.22,0.00,27.35,0.50,3.91,34.29,2.49,4.42,24.53,61,61,88.85,400,300,205.29,93.51,10.29,10.28,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,1.31,0.01,0.15,0.00,0.00
2,Python 3.0.1,fibonacci.py 20578,0.084606,1053,1686763078.099873,-,-,438,14.06,3106,1900,1.39,345,0,1,12,29,69,193,0,160,0,6,0.00,0.54,0.73,2.76,15.61,0.00,61.86,0.00,4.67,19.50,6.85,20.75,38.84,65,65,89.83,400,300,112.96,98.84,9.47,9.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.62,0.01,0.05,0.00,0.00
3,Python 3.0.1,fibonacci.py 20578,0.075280,1049,1686763078.213095,-,-,529,14.80,3560,1905,1.26,329,0,1,42,43,82,226,0,146,0,18,0.00,4.03,4.02,3.66,19.22,0.00,46.59,0.00,8.12,27.84,11.02,23.74,22.59,66,69,91.66,400,300,118.21,98.52,8.90,8.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.83,0.01,0.06,0.00,0.00
4,Python 3.0.1,fibonacci.py 20578,0.076563,1196,1686763078.328740,-,-,485,13.26,3500,1980,1.32,342,0,1,4,30,46,197,0,196,0,2,0.00,1.63,0.78,1.79,17.88,0.00,67.26,0.00,1.30,20.90,5.85,21.36,38.63,64,64,95.35,400,300,114.85,102.74,11.23,11.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,0.82,0.01,0.07,0.00,0.00
5,Python 3.0.1,fibonacci.py 20578,0.077571,1042,1686763078.439036,-,-,611,16.18,3774,1897,1.17,401,0,1,21,36,82,219,0,156,0,3,0.00,0.67,1.73,3.88,17.16,0.00,59.77,0.00,0.52,25.33,6.44,18.18,33.86,70,70,86.37,300,300,127.86,97.71,12.42,12.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.03,0.01,0.07,0.00,0.00
6,Python 3.0.1,fibonacci.py 20578,0.089751,1164,1686763078.568227,-,-,1276,38.78,3288,1897,0.80,811,0,19,3549,1347,131,69,0,59,0,0,0.04,20.09,13.15,1.16,6.95,0.00,20.15,0.00,0.00,40.04,0.17,5.17,15.84,70,70,91.36,300,250,227.34,98.81,8.03,7.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,1.51,0.01,0.13,0.00,0.00
7,Python 3.0.1,fibonacci.py 20578,0.083937,1071,1686763078.694694,-,-,681,21.18,3209,1899,1.10,437,0,1,347,229,120,242,0,138,0,4,0.00,4.32,5.27,4.52,18.77,0.00,44.41,0.00,1.73,28.15,5.46,16.85,28.36,70,71,85.78,300,300,152.91,99.23,13.65,13.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.89,0.01,0.09,0.00,0.00
8,Python 3.0.1,fibonacci.py 20578,0.075434,1140,1686763078.804465,-,-,554,15.17,3649,1896,1.27,329,0,0,23,40,73,183,0,139,0,8,0.00,1.95,1.94,3.24,16.35,0.00,55.20,0.00,5.89,24.72,6.94,18.69,34.48,68,69,79.54,300,300,120.59,97.86,19.33,18.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.88,0.01,0.07,0.00,0.00
9,Python 3.0.1,fibonacci.py 20578,0.074583,1054,1686763078.914863,-,-,487,13.56,3585,1898,1.34,310,0,1,8,36,61,195,0,143,0,5,0.00,0.87,1.23,3.21,16.87,0.00,56.20,0.00,8.15,21.11,9.32,18.05,37.95,71,71,88.49,300,300,108.91,98.27,10.69,10.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.78,0.01,0.05,0.00,0.00
10,Python 3.0.1,fibonacci.py 20578,0.073921,1107,1686763079.028150,-,-,511,13.68,3646,1943,1.29,338,0,1,5,31,67,197,0,165,0,5,0.00,0.64,0.99,3.46,16.83,0.00,63.75,0.00,2.61,20.59,11.22,18.45,36.05,67,70,91.99,300,300,118.87,104.21,15.27,14.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.90,0.01,0.07,0.00,0.00
