test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.4.10,nbody.py 5000000,43.028044,1189,1689851610.250168,-,-,482,12.69,3802,1896,2.71,35822,0,141,4627,1282,191,1116,5,5260,1751,16007,0.00,0.11,0.04,0.01,0.22,0.00,3.61,2.31,80.94,13.30,0.01,0.37,73.64,79,79,99.60,300,300,101.50,99.49,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,674.76,567.14,0.02,25.87,0.00,0.00
2,Python 3.4.10,nbody.py 5000000,48.513749,1240,1689851658.810035,-,-,432,12.75,3392,1896,2.69,24077,0,209,1610,1741,1176,2080,6,3885,55,8951,0.00,0.06,0.08,0.05,0.26,0.00,2.52,0.14,84.11,13.14,0.05,0.30,73.76,77,79,99.49,300,300,101.83,99.79,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,578.90,458.80,0.02,29.18,0.00,0.00
3,Python 3.4.10,nbody.py 5000000,48.305268,1238,1689851707.157519,-,-,434,12.76,3400,1896,2.69,24322,0,151,2459,1718,1039,1566,22,4044,94,10034,0.00,0.11,0.09,0.06,0.20,0.00,2.68,0.06,84.00,13.12,0.05,0.25,73.81,77,77,99.55,300,300,101.57,99.79,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,577.00,456.92,0.02,29.09,0.00,0.00
4,Python 3.4.10,nbody.py 5000000,48.455787,1236,1689851755.653404,-,-,431,12.68,3398,1896,2.69,22541,0,112,3861,1389,252,726,7,3048,64,8880,0.00,0.09,0.03,0.01,0.12,0.00,2.13,0.08,84.82,13.05,0.01,0.20,74.07,74,76,99.48,300,300,101.37,99.79,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,578.57,458.54,0.02,29.12,0.00,0.00
5,Python 3.4.10,nbody.py 5000000,51.956302,1196,1689851807.652091,-,-,434,12.81,3391,1896,2.51,36224,0,83,8750,1909,449,1420,7,5063,83,15864,0.00,0.24,0.05,0.02,0.21,0.00,3.10,0.06,83.48,13.61,0.02,0.29,73.27,79,79,99.24,300,300,102.17,99.79,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,620.42,491.16,0.14,31.45,0.00,0.00
6,Python 3.4.10,nbody.py 5000000,49.409228,1251,1689851857.101358,-,-,434,12.89,3368,1896,2.63,38480,0,317,11459,2749,662,1984,20,7085,111,15271,0.00,0.27,0.17,0.03,0.31,0.00,4.52,0.20,81.58,13.87,0.04,0.41,72.79,77,80,98.53,450,300,102.82,99.79,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,589.99,466.17,0.46,30.12,0.00,0.00
7,Python 3.4.10,nbody.py 5000000,49.552950,1219,1689851906.706491,-,-,431,12.74,3381,1896,2.64,24684,0,152,3958,1544,334,864,2,4283,83,10187,0.00,0.12,0.05,0.01,0.13,0.00,2.93,0.11,83.89,13.09,0.01,0.17,73.99,78,78,99.34,450,300,101.60,99.79,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,591.62,467.23,0.09,29.83,0.00,0.00
8,Python 3.4.10,nbody.py 5000000,48.788845,1239,1689851955.550950,-,-,430,12.72,3380,1896,2.68,25778,0,110,3561,1524,232,886,5,5038,70,10243,0.00,0.09,0.06,0.01,0.16,0.00,3.52,0.11,83.32,13.13,0.01,0.26,73.88,80,80,98.75,450,300,101.69,99.79,0.69,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,582.59,459.66,0.24,29.40,0.00,0.00
9,Python 3.4.10,nbody.py 5000000,48.638069,1264,1689852004.232510,-,-,431,12.74,3382,1896,2.69,23346,0,115,3568,1837,295,896,8,3661,85,9485,0.00,0.10,0.04,0.01,0.14,0.00,2.53,0.20,84.20,13.09,0.01,0.20,73.97,77,78,99.41,450,300,101.65,99.79,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,580.81,459.12,0.04,29.26,0.00,0.00
10,Python 3.4.10,nbody.py 5000000,48.895909,1165,1689852053.178401,-,-,430,12.71,3379,1896,2.68,25315,0,84,3678,1568,256,973,14,5098,80,10196,0.00,0.08,0.04,0.01,0.16,0.00,3.50,0.08,83.39,13.14,0.01,0.27,73.87,79,79,98.75,450,300,101.72,99.79,0.69,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,583.74,460.54,0.25,29.46,0.00,0.00
