test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.4.10,nbody.py 5000000,41.050716,1090,1689776224.459828,-,-,512,12.67,4044,1896,2.68,69393,0,136,5038,1997,835,2068,14,12011,4978,35122,0.00,0.10,0.08,0.03,0.52,0.00,7.77,6.25,72.43,13.92,0.03,0.86,72.53,94,94,99.03,450,300,101.45,98.92,0.73,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,747.44,643.82,0.23,25.00,0.00,0.00
2,Python 3.4.10,nbody.py 5000000,42.702809,1183,1689776267.206478,-,-,513,12.95,3961,1896,2.59,63801,0,353,6686,2706,893,4709,11,14359,2558,29453,0.00,0.20,0.11,0.05,0.92,0.00,8.46,3.97,73.20,13.96,0.05,1.28,71.76,92,95,98.86,450,300,102.61,99.00,0.90,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,764.38,654.09,0.45,26.37,0.00,0.00
3,Python 3.4.10,nbody.py 5000000,44.889136,1247,1689776312.135250,-,-,480,12.74,3764,1896,2.62,123420,0,385,4925,2443,2570,5669,35,21483,8778,65186,0.00,0.18,0.10,0.08,1.06,0.00,11.38,7.27,67.04,14.75,0.08,1.63,70.81,80,83,99.11,450,300,102.04,98.74,0.72,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,720.89,605.78,0.26,27.37,0.00,0.00
4,Python 3.4.10,nbody.py 5000000,48.142819,1203,1689776360.328750,-,-,433,12.70,3407,1896,2.70,26593,0,118,3844,1821,312,653,5,4647,317,10670,0.00,0.15,0.04,0.02,0.10,0.00,3.53,0.43,83.00,13.29,0.01,0.17,73.82,79,82,99.49,450,300,101.62,99.76,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,589.23,467.50,0.05,28.88,0.00,0.00
5,Python 3.4.10,nbody.py 5000000,49.091686,1243,1689776409.463202,-,-,431,12.79,3373,1896,2.66,28701,0,154,3776,2075,494,1010,10,6490,83,10872,0.00,0.14,0.06,0.02,0.17,0.00,4.73,0.16,81.91,13.24,0.02,0.25,73.70,78,80,98.75,450,300,101.77,99.79,0.71,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,586.08,461.62,0.28,29.88,0.00,0.00
6,Python 3.4.10,nbody.py 5000000,48.946955,1290,1689776458.461051,-,-,431,12.75,3382,1896,2.67,25320,0,323,4214,1509,279,818,5,4741,96,10219,0.00,0.11,0.05,0.01,0.12,0.00,3.39,0.16,83.37,13.04,0.01,0.19,74.00,78,79,99.52,450,300,101.49,99.79,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,584.52,461.80,0.03,29.34,0.00,0.00
7,Python 3.4.10,nbody.py 5000000,50.620791,1246,1689776509.126882,-,-,438,13.12,3342,1896,2.56,38298,0,2329,5365,2881,1065,4928,8,13255,157,13851,0.00,0.22,0.14,0.04,0.73,0.00,7.04,0.22,78.47,13.85,0.04,0.78,72.22,79,79,96.88,450,300,104.36,99.79,2.53,2.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,604.27,474.59,1.65,32.17,0.00,0.00
8,Python 3.4.10,nbody.py 5000000,50.476420,1255,1689776559.659561,-,-,421,12.84,3280,1896,2.66,29675,0,155,1978,2054,1089,1885,8,5416,34,8799,0.00,0.11,0.09,0.06,0.22,0.00,3.58,0.03,83.03,13.24,0.06,0.27,73.59,77,77,99.58,450,300,102.18,99.79,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,603.14,476.50,0.02,30.31,0.00,0.00
9,Python 3.4.10,nbody.py 5000000,49.988768,1513,1689776609.693048,-,-,447,13.48,3311,1896,2.56,45083,0,429,6789,4039,1730,7921,16,18656,122,15965,0.00,0.30,0.23,0.08,1.18,0.00,9.25,0.09,75.35,14.44,0.09,1.54,70.45,71,71,95.33,300,300,106.80,99.79,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,597.96,467.51,2.62,33.06,0.00,0.00
10,Python 3.4.10,nbody.py 5000000,51.546864,1239,1689776661.302065,-,-,474,14.88,3189,1896,2.41,71928,0,505,7205,5969,3311,17553,22,35957,280,24729,0.00,0.52,0.43,0.14,2.41,0.01,14.74,0.22,66.65,15.80,0.10,2.24,66.98,80,81,90.99,450,300,114.35,99.79,8.35,8.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,614.36,475.45,6.28,37.46,0.00,0.00
