test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.7.16,nbody.py 50000,0.677457,1332,1686314736.875005,-,-,691,25.52,2707,1896,0.82,7666,0,13,910,1132,683,1792,0,1231,0,0,0.00,1.43,2.36,2.28,19.12,0.00,49.39,0.00,0.00,19.42,1.49,14.49,39.08,74,76,94.03,450,300,158.61,99.78,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,5.54,0.04,0.61,0.00,0.00
2,Python 3.7.16,nbody.py 50000,0.606885,1357,1686314737.522204,-,-,532,17.72,3003,1896,1.03,3014,0,2,154,268,215,1992,0,1375,0,0,0.00,0.78,0.88,0.97,24.68,0.00,55.06,0.00,0.00,19.36,1.91,21.26,39.75,74,76,86.01,433,433,129.90,99.71,13.09,13.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.05,5.26,0.09,0.53,0.00,0.00
3,Python 3.7.16,nbody.py 50000,0.667323,1623,1686314738.242609,-,-,644,23.17,2780,1896,0.79,4018,0,23,2423,1864,445,1920,1,1366,0,0,0.01,2.78,3.40,1.34,21.79,0.04,47.62,0.00,0.00,23.42,1.09,19.62,32.69,74,76,72.98,450,450,156.70,99.77,25.81,25.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.78,5.57,0.27,0.79,0.00,0.00
4,Python 3.7.16,nbody.py 50000,0.699215,1454,1686314738.993351,-,-,650,24.30,2672,1896,0.78,4127,0,54,935,866,533,2438,1,1367,0,0,0.01,2.20,2.37,2.01,26.28,0.01,42.96,0.00,0.00,22.98,1.38,20.94,30.40,72,74,60.78,300,300,163.03,99.86,38.19,38.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.99,5.51,0.36,0.94,0.00,0.00
5,Python 3.7.16,nbody.py 50000,0.685143,1248,1686314739.723125,-,-,646,24.11,2680,1896,0.84,3967,0,33,3354,1857,432,1630,0,1240,0,0,0.01,3.80,2.44,0.97,18.75,0.00,50.10,0.00,0.00,21.45,0.51,15.80,38.14,76,76,93.12,850,300,160.09,99.78,6.42,6.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.43,5.39,0.05,0.62,0.00,0.00
6,Python 3.7.16,nbody.py 50000,0.579390,1273,1686314740.345517,-,-,447,14.73,3037,1896,1.15,2623,0,2,31,112,203,1526,0,1260,0,0,0.00,0.13,0.76,1.03,21.74,0.00,61.70,0.00,0.00,17.57,2.50,17.28,47.91,76,78,95.62,450,300,114.31,99.71,3.89,3.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.24,4.66,0.03,0.42,0.00,0.00
7,Python 3.7.16,nbody.py 50000,0.603206,1239,1686314740.991365,-,-,558,18.88,2956,1896,0.96,3197,0,17,3085,1551,270,1179,0,1231,0,0,0.01,3.18,1.75,0.77,17.25,0.00,58.32,0.00,0.00,19.20,0.53,14.22,47.16,76,77,95.82,983,300,133.00,99.78,3.76,3.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.80,5.14,0.04,0.49,0.00,0.00
8,Python 3.7.16,nbody.py 50000,0.592265,1321,1686314741.622238,-,-,511,16.74,3051,1896,1.05,3110,0,35,476,483,316,1812,0,1247,0,0,0.01,1.37,1.37,1.43,24.31,0.00,54.88,0.00,0.00,20.30,2.28,19.11,41.56,78,78,93.88,850,300,125.66,99.72,5.46,5.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.96,5.18,0.08,0.46,0.00,0.00
9,Python 3.7.16,nbody.py 50000,0.676968,1451,1686314742.345494,-,-,787,27.68,2844,1896,0.76,4838,0,17,2634,1432,340,1541,0,1201,0,0,0.01,3.25,2.73,1.06,17.76,0.00,47.63,0.00,0.00,20.90,0.33,14.78,36.31,75,76,96.02,850,300,169.07,99.77,3.60,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.57,6.45,0.04,0.65,0.00,0.00
10,Python 3.7.16,nbody.py 50000,0.831588,1753,1686314743.224143,-,-,1102,44.20,2493,1896,0.69,7917,0,61,1634,1047,646,2664,0,1036,0,0,0.02,3.17,2.54,2.66,22.61,0.00,24.88,0.00,0.00,21.28,2.40,16.46,15.67,70,70,94.28,300,300,237.19,99.75,5.25,5.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.68,8.13,0.06,0.95,0.00,0.00
