test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.6.15,fibonacci_oldVersions.py 600000,7.405832,1734,1690401640.506331,-,-,711,18.21,3903,1896,1.50,105861,0,15791,19444,8374,3637,16836,190,12516,0,0,0.25,1.76,1.72,1.23,12.00,0.12,64.73,0.00,0.00,20.56,0.96,7.88,52.39,71,73,98.44,300,300,132.65,97.69,1.51,1.45,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143.28,123.58,0.06,5.37,0.00,0.00
2,Python 3.6.15,fibonacci_oldVersions.py 600000,8.305331,1428,1690401648.967072,-,-,707,17.95,3935,1896,1.45,107392,0,18644,27850,11408,3918,18177,73,14335,0,0,0.25,2.26,2.28,1.35,11.22,0.04,64.62,0.00,0.00,20.88,1.07,8.48,51.62,80,80,98.56,300,300,129.63,96.30,1.34,1.29,0.13,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.18,140.92,0.07,5.71,0.00,0.00
3,Python 3.6.15,fibonacci_oldVersions.py 600000,8.932279,1620,1690401658.059388,-,-,1055,27.18,3881,1896,1.25,134307,0,19692,24537,14822,3965,17804,150,13654,0,0,0.30,2.33,2.40,1.24,10.59,0.09,55.86,0.00,0.00,19.72,0.83,8.15,44.12,84,87,98.52,300,300,166.50,97.98,1.32,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.62,188.18,0.08,6.35,0.00,0.00
4,Python 3.6.15,fibonacci_oldVersions.py 600000,8.902606,1904,1690401667.102824,-,-,1080,28.61,3775,1896,1.22,164395,0,26925,38443,38538,9373,21591,304,12228,0,0,0.54,3.35,5.45,2.52,11.30,0.06,48.40,0.00,0.00,25.28,1.76,7.14,37.21,91,91,98.30,300,300,173.26,98.03,1.50,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.96,188.86,0.09,6.81,0.00,0.00
5,Python 3.6.15,fibonacci_oldVersions.py 600000,7.679780,1811,1690401674.939176,-,-,732,18.76,3904,1896,1.45,97003,0,15118,18814,16569,5511,19383,275,14547,0,0,0.31,2.03,3.09,1.83,12.24,0.07,61.72,0.00,0.00,23.47,1.71,8.21,47.85,85,85,98.57,300,300,135.77,97.65,1.30,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.15,137.58,0.07,5.46,0.00,0.00
6,Python 3.6.15,fibonacci_oldVersions.py 600000,7.554612,2686,1690401682.688953,-,-,687,17.58,3910,1896,1.49,81143,0,10544,12769,8509,3981,17031,145,15571,0,0,0.19,1.58,1.72,1.40,10.75,0.07,66.62,0.00,0.00,20.80,1.14,7.75,52.75,82,83,98.51,300,300,129.00,97.48,1.34,1.30,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.59,130.99,0.07,5.28,0.00,0.00
7,Python 3.6.15,fibonacci_oldVersions.py 600000,10.181380,1874,1690401693.016148,-,-,822,22.40,3670,1896,1.31,109356,0,10780,16051,15328,5393,19646,145,20150,0,0,0.15,1.58,2.41,1.50,9.81,0.13,61.96,0.00,0.00,19.90,1.11,6.67,49.92,84,84,99.48,300,300,142.48,90.39,0.54,0.51,0.63,6.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.18,165.60,0.04,6.24,0.00,0.00
8,Python 3.6.15,fibonacci_oldVersions.py 600000,7.807986,1741,1690401701.019686,-,-,760,19.43,3911,1896,1.44,81411,0,10024,15551,8848,3128,15573,59,14765,0,0,0.14,1.58,1.81,1.22,10.34,0.03,65.30,0.00,0.00,20.15,0.90,7.67,51.85,86,89,98.44,300,300,136.61,97.73,1.40,1.36,0.02,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166.14,143.54,0.08,5.38,0.00,0.00
9,Python 3.6.15,fibonacci_oldVersions.py 600000,7.605730,2445,1690401708.771146,-,-,703,18.29,3842,1896,1.49,79356,0,10455,14265,11669,4653,17882,96,14765,0,0,0.21,1.46,2.13,1.62,11.80,0.03,64.39,0.00,0.00,20.89,1.36,8.01,51.45,90,93,98.70,300,300,131.15,97.67,1.21,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.17,129.37,0.06,5.30,0.00,0.00
10,Python 3.6.15,fibonacci_oldVersions.py 600000,11.169658,1898,1690401720.071853,-,-,659,19.64,3355,1896,1.36,93061,0,13328,13694,14774,4939,20889,186,22195,0,0,0.19,1.08,2.02,1.21,9.39,0.11,66.35,0.00,0.00,18.99,1.04,6.51,53.82,80,81,98.90,300,300,131.03,89.96,1.03,0.98,0.67,6.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,181.37,149.08,0.08,6.48,0.00,0.00
